frequency_hz,velocity_m_s,inside_physical_mask,peak_energy
1.857142857142864045e+01,1.010093131461057112e+02,1.000000000000000000e+00,3.730364499871863249e-01
1.885714285714292515e+01,9.947187933137963967e+01,1.000000000000000000e+00,3.373652077551939077e-01
1.914285714285721340e+01,9.742404534887228351e+01,1.000000000000000000e+00,2.891690931509600659e-01
1.942857142857149810e+01,9.485957229218308839e+01,1.000000000000000000e+00,3.758868843016488492e-01
1.971428571428578636e+01,9.171210960268102497e+01,1.000000000000000000e+00,4.159191145647119225e-01
2.000000000000007105e+01,8.847271145819615867e+01,1.000000000000000000e+00,3.787121320649315948e-01
2.028571428571435931e+01,8.613346160299481369e+01,1.000000000000000000e+00,4.124733105865485139e-01
2.057142857142864756e+01,8.461365358910029499e+01,1.000000000000000000e+00,4.001248466433308115e-01
2.085714285714293226e+01,8.351720624389844261e+01,1.000000000000000000e+00,3.733353948475675588e-01
2.114285714285722051e+01,8.299210258119492778e+01,0.000000000000000000e+00,3.932134037320840769e-01
2.142857142857150521e+01,8.268116153973468840e+01,0.000000000000000000e+00,4.481159501876429418e-01
2.171428571428579346e+01,8.227628448138676731e+01,0.000000000000000000e+00,4.765803403987920461e-01
2.200000000000008171e+01,8.200989006682257809e+01,0.000000000000000000e+00,4.647222744511460557e-01
2.228571428571436641e+01,8.140693467925915172e+01,0.000000000000000000e+00,4.227064457493616700e-01
2.257142857142865466e+01,8.011720463642821244e+01,0.000000000000000000e+00,4.384592487520487802e-01
2.285714285714293936e+01,7.904677780815298149e+01,0.000000000000000000e+00,4.532193999094411008e-01
2.314285714285722761e+01,7.903351212825046446e+01,0.000000000000000000e+00,4.516938086601020585e-01
2.342857142857151231e+01,8.018280167105444889e+01,0.000000000000000000e+00,3.805363741914420950e-01
2.371428571428580057e+01,8.061386204992932392e+01,0.000000000000000000e+00,3.957270531731094665e-01
2.400000000000008882e+01,7.954948546510165386e+01,0.000000000000000000e+00,3.966393495749685472e-01
2.428571428571437352e+01,7.765632294264477764e+01,0.000000000000000000e+00,3.738858299925826856e-01
2.457142857142866177e+01,7.630900531317975322e+01,0.000000000000000000e+00,3.949039826637535944e-01
2.485714285714294647e+01,7.566599233748857500e+01,0.000000000000000000e+00,3.933682265332249517e-01
2.514285714285723472e+01,7.521755763221381130e+01,0.000000000000000000e+00,3.943521436932718727e-01
2.542857142857151942e+01,7.498902983340617823e+01,0.000000000000000000e+00,4.222821965649421472e-01
2.571428571428580767e+01,7.472120209435520621e+01,0.000000000000000000e+00,4.535513679346737659e-01
2.600000000000009592e+01,7.425996747357123695e+01,0.000000000000000000e+00,4.533675168993648308e-01
2.628571428571438062e+01,7.404070192466627987e+01,0.000000000000000000e+00,4.268846475573868648e-01
2.657142857142866887e+01,7.398165638343550654e+01,0.000000000000000000e+00,4.323528906023523244e-01
2.685714285714295357e+01,7.374802130187147498e+01,0.000000000000000000e+00,4.547395459691229158e-01
2.714285714285724183e+01,7.324426311857830285e+01,0.000000000000000000e+00,4.549584060900545568e-01
2.742857142857153008e+01,7.299539762360508632e+01,0.000000000000000000e+00,4.740773150391333624e-01
2.771428571428581478e+01,7.297783138192058061e+01,0.000000000000000000e+00,5.009618817505245847e-01
2.800000000000010303e+01,7.302340153494391473e+01,0.000000000000000000e+00,5.193863464432473265e-01
2.828571428571438773e+01,7.303073502181445065e+01,0.000000000000000000e+00,5.248399342414481472e-01
2.857142857142867598e+01,7.280127540999755809e+01,0.000000000000000000e+00,5.234581779328890683e-01
2.885714285714296068e+01,7.224834271753688597e+01,0.000000000000000000e+00,5.086807519283866874e-01
2.914285714285724893e+01,7.199592273785570740e+01,0.000000000000000000e+00,4.653473804800441482e-01
2.942857142857153718e+01,7.199854700219789549e+01,0.000000000000000000e+00,4.473597581474214047e-01
2.971428571428582188e+01,7.200481498760312604e+01,0.000000000000000000e+00,4.500052556392240555e-01
3.000000000000011013e+01,7.176764524961981806e+01,0.000000000000000000e+00,4.554257712935804725e-01
3.028571428571439483e+01,7.123969276721719268e+01,0.000000000000000000e+00,4.360818471094754512e-01
3.057142857142868309e+01,7.098949829677523837e+01,0.000000000000000000e+00,4.466399191822942871e-01
3.085714285714296778e+01,7.096786370173853697e+01,0.000000000000000000e+00,4.865317101116335419e-01
3.114285714285725604e+01,7.098947405728030446e+01,0.000000000000000000e+00,4.736558421896448490e-01
3.142857142857154429e+01,7.099778389410761292e+01,0.000000000000000000e+00,4.890710793243321364e-01
3.171428571428582899e+01,7.100161533151877791e+01,0.000000000000000000e+00,5.241497964231388584e-01
3.200000000000011369e+01,7.102460155621689353e+01,0.000000000000000000e+00,5.587154983739509584e-01
3.228571428571440549e+01,7.104762254450739078e+01,0.000000000000000000e+00,6.027070591790352205e-01
3.257142857142869019e+01,7.082796748941039766e+01,0.000000000000000000e+00,6.261743621731854503e-01
