frequency_hz,velocity_m_s,inside_physical_mask,peak_energy
2.342857142857151231e+01,8.018391378976936323e+01,0.000000000000000000e+00,3.792529169499860298e-01
2.371428571428580057e+01,8.061443002086758725e+01,0.000000000000000000e+00,3.956725986823829144e-01
2.400000000000008882e+01,7.954926083331591258e+01,0.000000000000000000e+00,3.980909510116287242e-01
2.428571428571437352e+01,7.765567421295656914e+01,0.000000000000000000e+00,3.739383097771434294e-01
2.457142857142866177e+01,7.630861051690607155e+01,0.000000000000000000e+00,3.943399173762614507e-01
2.485714285714294647e+01,7.566585707157419449e+01,0.000000000000000000e+00,3.919002463074308662e-01
2.514285714285723472e+01,7.521754390548710489e+01,0.000000000000000000e+00,3.960831992869257578e-01
2.542857142857151942e+01,7.498904019211697403e+01,0.000000000000000000e+00,4.215083823836426880e-01
2.571428571428580767e+01,7.472119640424378417e+01,0.000000000000000000e+00,4.531118685496173804e-01
2.600000000000009592e+01,7.425994447069535909e+01,0.000000000000000000e+00,4.538886057129798979e-01
2.628571428571438062e+01,7.404068912514620138e+01,0.000000000000000000e+00,4.268722380211005807e-01
2.657142857142866887e+01,7.398165442348516763e+01,0.000000000000000000e+00,4.330950928641984499e-01
2.685714285714295357e+01,7.374802212132105694e+01,0.000000000000000000e+00,4.533268624657104118e-01
2.714285714285724183e+01,7.324426373899096632e+01,0.000000000000000000e+00,4.548829381227062485e-01
2.742857142857153008e+01,7.299539857420140265e+01,0.000000000000000000e+00,4.746565191905032233e-01
2.771428571428581478e+01,7.297783338313838897e+01,0.000000000000000000e+00,5.003177733721851927e-01
2.800000000000010303e+01,7.302340024601954838e+01,0.000000000000000000e+00,5.204135094347150936e-01
2.828571428571438773e+01,7.303071387498859224e+01,0.000000000000000000e+00,5.238911631116004441e-01
2.857142857142867598e+01,7.280122916002167699e+01,0.000000000000000000e+00,5.234701358676252525e-01
2.885714285714296068e+01,7.224832132867349799e+01,0.000000000000000000e+00,5.084948823942065932e-01
2.914285714285724893e+01,7.199592110380905297e+01,0.000000000000000000e+00,4.625073146403091418e-01
2.942857142857153718e+01,7.199854910466349622e+01,0.000000000000000000e+00,4.485642284917958356e-01
2.971428571428582188e+01,7.200481587404442507e+01,0.000000000000000000e+00,4.514654801365036718e-01
