frequency_hz,vs_app_min_m_s,vs_app_max_m_s,admissible_cells
2.057142857142864756e+01,9.021739130434782794e+01,1.119565217391304230e+02,1.800000000000000000e+01
2.085714285714293226e+01,9.130434782608695343e+01,1.119565217391304230e+02,1.700000000000000000e+01
2.114285714285722051e+01,9.239130434782607892e+01,1.119565217391304230e+02,1.700000000000000000e+01
2.142857142857150521e+01,9.347826086956521863e+01,1.108695652173912976e+02,1.500000000000000000e+01
2.171428571428579346e+01,9.456521739130434412e+01,1.108695652173912976e+02,1.100000000000000000e+01
2.200000000000008171e+01,9.673913043478260931e+01,1.119565217391304230e+02,1.200000000000000000e+01
2.228571428571436641e+01,9.782608695652173481e+01,1.086956521739130324e+02,1.100000000000000000e+01
2.257142857142865466e+01,9.891304347826086030e+01,1.065217391304347814e+02,8.000000000000000000e+00
2.285714285714293936e+01,1.000000000000000000e+02,1.043478260869565162e+02,5.000000000000000000e+00
2.314285714285722761e+01,1.010869565217391255e+02,1.097826086956521721e+02,9.000000000000000000e+00
2.342857142857151231e+01,1.021739130434782510e+02,1.108695652173912976e+02,9.000000000000000000e+00
2.371428571428580057e+01,1.032608695652173907e+02,1.108695652173912976e+02,8.000000000000000000e+00
2.400000000000008882e+01,1.054347826086956417e+02,1.054347826086956417e+02,1.000000000000000000e+00
2.428571428571437352e+01,nan,nan,0.000000000000000000e+00
2.457142857142866177e+01,nan,nan,0.000000000000000000e+00
2.485714285714294647e+01,nan,nan,0.000000000000000000e+00
2.514285714285723472e+01,nan,nan,0.000000000000000000e+00
2.542857142857151942e+01,nan,nan,0.000000000000000000e+00
2.571428571428580767e+01,nan,nan,0.000000000000000000e+00
2.600000000000009592e+01,nan,nan,0.000000000000000000e+00
2.628571428571438062e+01,nan,nan,0.000000000000000000e+00
2.657142857142866887e+01,nan,nan,0.000000000000000000e+00
2.685714285714295357e+01,nan,nan,0.000000000000000000e+00
2.714285714285724183e+01,nan,nan,0.000000000000000000e+00
2.742857142857153008e+01,nan,nan,0.000000000000000000e+00
2.771428571428581478e+01,nan,nan,0.000000000000000000e+00
2.800000000000010303e+01,nan,nan,0.000000000000000000e+00
2.828571428571438773e+01,nan,nan,0.000000000000000000e+00
2.857142857142867598e+01,nan,nan,0.000000000000000000e+00
2.885714285714296068e+01,nan,nan,0.000000000000000000e+00
2.914285714285724893e+01,nan,nan,0.000000000000000000e+00
2.942857142857153718e+01,nan,nan,0.000000000000000000e+00
2.971428571428582188e+01,nan,nan,0.000000000000000000e+00
3.000000000000011013e+01,nan,nan,0.000000000000000000e+00
3.028571428571439483e+01,nan,nan,0.000000000000000000e+00
3.057142857142868309e+01,nan,nan,0.000000000000000000e+00
3.085714285714296778e+01,nan,nan,0.000000000000000000e+00
3.114285714285725604e+01,nan,nan,0.000000000000000000e+00
3.142857142857154429e+01,nan,nan,0.000000000000000000e+00
3.171428571428582899e+01,nan,nan,0.000000000000000000e+00
3.200000000000011369e+01,nan,nan,0.000000000000000000e+00
3.228571428571440549e+01,nan,nan,0.000000000000000000e+00
3.257142857142869019e+01,nan,nan,0.000000000000000000e+00
3.285714285714297489e+01,nan,nan,0.000000000000000000e+00
3.314285714285726669e+01,nan,nan,0.000000000000000000e+00
3.342857142857155139e+01,nan,nan,0.000000000000000000e+00
3.371428571428583609e+01,nan,nan,0.000000000000000000e+00
3.400000000000012079e+01,nan,nan,0.000000000000000000e+00
3.428571428571441260e+01,nan,nan,0.000000000000000000e+00
3.457142857142869730e+01,nan,nan,0.000000000000000000e+00
3.485714285714298200e+01,nan,nan,0.000000000000000000e+00
3.514285714285727380e+01,nan,nan,0.000000000000000000e+00
3.542857142857155850e+01,nan,nan,0.000000000000000000e+00
3.571428571428584320e+01,nan,nan,0.000000000000000000e+00
3.600000000000012790e+01,nan,nan,0.000000000000000000e+00
3.628571428571441970e+01,nan,nan,0.000000000000000000e+00
3.657142857142870440e+01,nan,nan,0.000000000000000000e+00
3.685714285714298910e+01,nan,nan,0.000000000000000000e+00
3.714285714285728091e+01,nan,nan,0.000000000000000000e+00
3.742857142857156560e+01,nan,nan,0.000000000000000000e+00
3.771428571428585030e+01,nan,nan,0.000000000000000000e+00
3.800000000000013500e+01,nan,nan,0.000000000000000000e+00
3.828571428571442681e+01,nan,nan,0.000000000000000000e+00
3.857142857142871151e+01,nan,nan,0.000000000000000000e+00
3.885714285714299621e+01,nan,nan,0.000000000000000000e+00
3.914285714285728801e+01,nan,nan,0.000000000000000000e+00
3.942857142857157271e+01,nan,nan,0.000000000000000000e+00
3.971428571428585741e+01,nan,nan,0.000000000000000000e+00
4.000000000000014211e+01,nan,nan,0.000000000000000000e+00
4.028571428571443391e+01,nan,nan,0.000000000000000000e+00
4.057142857142871861e+01,nan,nan,0.000000000000000000e+00
4.085714285714300331e+01,nan,nan,0.000000000000000000e+00
4.114285714285729512e+01,nan,nan,0.000000000000000000e+00
4.142857142857157982e+01,nan,nan,0.000000000000000000e+00
4.171428571428586451e+01,nan,nan,0.000000000000000000e+00
4.200000000000014921e+01,nan,nan,0.000000000000000000e+00
4.228571428571444102e+01,nan,nan,0.000000000000000000e+00
4.257142857142872572e+01,nan,nan,0.000000000000000000e+00
4.285714285714301042e+01,nan,nan,0.000000000000000000e+00
4.314285714285730222e+01,nan,nan,0.000000000000000000e+00
4.342857142857158692e+01,nan,nan,0.000000000000000000e+00
4.371428571428587162e+01,nan,nan,0.000000000000000000e+00
4.400000000000016342e+01,nan,nan,0.000000000000000000e+00
4.428571428571444812e+01,nan,nan,0.000000000000000000e+00
4.457142857142873282e+01,nan,nan,0.000000000000000000e+00
4.485714285714301752e+01,nan,nan,0.000000000000000000e+00
4.514285714285730933e+01,nan,nan,0.000000000000000000e+00
4.542857142857159403e+01,nan,nan,0.000000000000000000e+00
4.571428571428587873e+01,nan,nan,0.000000000000000000e+00
4.600000000000017053e+01,nan,nan,0.000000000000000000e+00
4.628571428571445523e+01,nan,nan,0.000000000000000000e+00
4.657142857142873993e+01,nan,nan,0.000000000000000000e+00
4.685714285714302463e+01,nan,nan,0.000000000000000000e+00
4.714285714285731643e+01,nan,nan,0.000000000000000000e+00
4.742857142857160113e+01,nan,nan,0.000000000000000000e+00
4.771428571428588583e+01,nan,nan,0.000000000000000000e+00
4.800000000000017764e+01,nan,nan,0.000000000000000000e+00
4.828571428571446233e+01,nan,nan,0.000000000000000000e+00
4.857142857142874703e+01,nan,nan,0.000000000000000000e+00
4.885714285714303173e+01,nan,nan,0.000000000000000000e+00
4.914285714285732354e+01,nan,nan,0.000000000000000000e+00
4.942857142857160824e+01,nan,nan,0.000000000000000000e+00
4.971428571428589294e+01,nan,nan,0.000000000000000000e+00
